category,name,address,city,state,zip,confidence
park,Rose Falls,,,,49818,0.95
campground,Little Lake State Forest Campground,,,,49841,0.95
park,Black River Falls,,,,49849,0.95
park,Al Quaal Recreation Area,501 Poplar St,,,49849,0.95
park,Ishpeming Baseball Field,1329 N 2nd St,Ishpeming,MI,49849,0.95
park,Ishpeming Playgrounds,US-41,,,49849,0.95
hiking_trail,NTN South Trails Trailhead,2375 M-553,Marquette,MI,49855,0.95
campground,Rippling River Resort,4321 M-553,Marquette,MI,49855,0.92
park,Founders Landing,"Lake Superior Theatre, 270 Lakeshore Blvd",Marquette,MI,49855,0.96
park,McCarty Beach,538 N Lakeshore Blvd,Marquette,MI,49855,0.96
campground,Chocolay River RV & Campgrounds,123 Eagle Pass Trl,Marquette,MI,49855,0.96
campground,Gitche Gumee RV Park and Campground,2048 M-28,Chocolay Twp,MI,49855,0.95
park,Little Presque Isle Day Use Area,Harlow Lake Rd,,,49855,0.95
hiking_trail,Little Presque Isle,,,,,0.96
park,Holeyoke Falls,,,,,0.96
park,MooseWood Nature Center,Peter White Dr,Marquette,MI,49855,0.95
park,Point Abbaye Natural Area,22822 Pt Abbaye Rd,L'Anse,MI,49946,0.96
park,Ectasy Falls,,,,,0.95
park,Lower Letherby Falls,,,,,0.95
park,Slide Falls,,,,,0.95
campground,Ojibwa Marina,198 Lighthouse Rd,Baraga,MI,49908,0.95
park,Middle Falls,"Falls River, L'Anse",,,49946,0.95
hiking_trail,Ogemaw Falls,Baraga Plains Rd,,,49946,0.95
park,Plumbago Falls,,,,49946,0.96
park,Harley Falls,,,,49946,0.96
park,No Name Falls,,,,,0.96
campground,Camp Michigamme,2110 US Highway 41,Michigamme,MI,49861,0.96
campground,Michigamme Shore's campground,64 Purple Rd,Michigamme,MI,49861,0.95
campground,Northern Lights Campground,Park City Rd,,,49879,0.95
park,Chipmunk Falls,,,,,0.96
campground,Runkle Lake Camping,311 Runkle Lake Rd,Crystal Falls,MI,49920,0.95
campground,Lake Ottawa Recreation Area,Lake Ottawa Rd,,,49935,0.96
park,Nelson Field,520 Jefferson Ave,Iron River,MI,49935,0.96
park,Ottawa National Forest Visitor Center,E23979 US-2,,,49969,0.96
park,Storybook Garden,Chippewa Dr,,,54540,0.95
campground,Rohr's Wilderness Tours,5230 Razorback Rd,Conover,WI,54519,0.99
campground,North Shore Campground,"E, 24885 Misery Bay Rd",,,49969,0.95
campground,Marion Lake Campground and Picnic Area,,,,49969,0.95
campground,Robbins Pond Campground,,,,49912,0.96
park,Agate Falls Scenic Site,M-28,,,49967,0.96
park,Sparrow-Kenton Wayside Picnic Area,8f277325d2d4c04,,,49967,0.96
campground,Sturgeon River Campground,Forest Service Rd 2200,,,49908,0.96
park,Onion Falls,,,,49961,0.96
hiking_trail,Union Mine Interpretive trailhead,Porcupine Mountains,,,49953,0.95
park,Porcupine Mountains Outpost,107th Engineers Memorial Hwy,,,49953,0.96
campground,Union River 'Big Bear' Campground,35653 107th Engineers Memorial Hwy,Silver City,MI,49953,0.99
park,Pinkerton Falls,,,,,0.96
park,Lepisto Falls,,,,,0.95
park,Nimikon Falls,,,,,0.95
campground,Sunday Lake Eddy Park Campground,300 Eddy Park Rd,,,49968,0.95
campground,Henry Lake Campground,,,,49947,0.95
park,Marshall Falls,,,,49947,0.95
campground,Sylvania Campground,8f2755809394103,,,49969,0.96
campground,Camp Jorn YMCA,13591 Zenner Ln,Manitowish Waters,WI,54545,0.91
campground,Camp Holiday Campground,11475 Rudolph Lake Ln,Boulder Junction,WI,54512,0.95
campground,Camp Manito-wish YMCA,5650 Camp Manitowish Ln,Boulder Junction,WI,54512,0.91
campground,Lac Du Flambeau Campground and Marina,2549 WI-47,Lac du Flambeau,WI,54538,0.92
campground,Broken Bow Campground,14855 Deer Trl,Lac du Flambeau,WI,54538,0.95
campground,Red Arrow Camp,3980 Day Lake Rd,Woodruff,WI,54568,0.95
campground,South Trout Lake Campground,3678 CR-M,Boulder Junction,WI,54512,0.95
campground,Punch Lake Campground,2747 Wihega Rd,Arbor Vitae,WI,54568,0.98
park,Finnerud Pine Forest State Natural Area,,,,54548,0.96
campground,Camp Kawaga,10000 Kawaga Rd,Minocqua,WI,54548,0.99
campground,Foxfire Campground,11200 Fox Fire Rd,Woodruff,WI,54568,0.95
campground,Arbor Vitae Campground,10545 Big Arbor Vitae Dr,Arbor Vitae,WI,54568,0.96
hiking_trail,Madeline Hiking Trail,,,,54568,0.96
hiking_trail,Raven Trail Head,8420 Woodruff Rd #8332,,,54568,0.95
campground,Clear Lake Campground,8282 Woodruff Rd,Woodruff,WI,54568,0.95
national_park,Tomahawk River Pines State Natural Area,101 S Webster St,,,53703,0.95
campground,Cedar Falls Campground,6051 Cedar Falls Rd,Hazelhurst,WI,54531,0.96
campground,Indian Mound Campground,,,,54539,0.96
campground,Hurleys Hideaway Resort,7016 Snipe Rd,Lake Tomahawk,WI,54539,0.96
campground,Crystal Lake Scout Reservation,5403 Spider Lake Rd,Rhinelander,WI,54501,0.96
campground,Hanna Venture Base,5305 Crystal Lake Rd,Rhinelander,WI,54501,0.95
campground,Klingens Idlewilde Bar & Compost,5798 WI-17 N,Rhinelander,WI,54501,0.96
campground,Camp Pontiac Campground LLC,3049 Woodwind Way,Rhinelander,WI,54501,0.95
hiking_trail,Holmboe Conifer Forest Trailhead,903 Boyce Dr,Rhinelander,WI,54501,0.95
campground,Moen Lake Campground,4061 Lakeshore Dr,Rhinelander,WI,54501,0.99
campground,Lake George Campsite & Bar llc,4006 Bassett Rd,Rhinelander,WI,54501,0.96
hiking_trail,North Trout Nature Trail,4663 CR-M,Boulder Junction,WI,54512,0.96
campground,North Trout Lake campground,4525 CR-M,Boulder Junction,WI,54512,0.96
campground,Crystal Lake Campground,10145 County Rd N,Boulder Junction,WI,54512,0.95
park,Razorback Ridges Trail,3110 Razorback Rd,Sayner,WI,54560,0.96
campground,Razorback Lake Campground,3696 Razorback Rd,Sayner,WI,54560,0.96
hiking_trail,Star Lake Hiking Trail,7999 State House Rd,Star Lake,WI,54561,0.95
campground,Plum Lake Campground,9100 Plum Lake Campsite Rd,Sayner,WI,54560,0.96
campground,Camp Highlands for Boys,8450 Camp Highland Rd,Sayner,WI,54560,0.96
park,Bittersweet Lakes State Natural Area,,,,54568,0.95
campground,Carrol Lake Campground,Townline Rd,,,54568,0.96
campground,Indian Shores,7750 Indian Shores Rd,Woodruff,WI,54568,0.94
campground,Cunard Lake Campground,7868 Lake Cunard Campground Rd,Lake Tomahawk,WI,54539,0.95
park,St. Germain Playground,545 WI-155,St Germain,WI,54558,0.95
campground,Coadys' Point of View Lake Resort | Wisconsin Glamping and Cabin Rentals - Top Ice Fishing/Snowmobiling!,3932 Point View Dr,Minocqua,WI,54548,0.95
campground,Camp Birch Knoll,3500 Dam Ln,Phelps,WI,54554,0.95
park,Riverview Park,505 W Division St,Eagle River,WI,54521,0.95
campground,Hi-Pines Campground,1919 US-45 N,Eagle River,WI,54521,0.96
campground,Peaceful Pines Resort,1875 Hat Trick Trl,,,54521,0.99
campground,HoneyRock,8660 Honey Rock Rd,Three Lakes,WI,54562,0.95
campground,Spectacle Lake Campground,Tuttle Rd NW,,,54554,0.96
campground,Kentuck Lake Campground,,,,54521,0.96
hiking_trail,Sam Campbell Memorial Trail,8213 NF-2207,Three Lakes,WI,54562,0.95
campground,Franklin Lake Campground,15253 Butternut Lake Rd,Three Lakes,WI,54562,0.96
campground,Luna - White Deer Lake Campground,Forest Rd 2188,,,54542,0.96
campground,Covenant Point Bible Camp,358 W Hagerman Lake Rd,Iron River,MI,49935,0.96
hiking_trail,Apple Blossom Trail Iron River,Bike Trail,,,49935,0.96
park,Stevens Lake Boat Landing,Stevens Lake,,,54542,0.95
campground,Fay Lake Northwoods Resort,3869 Fay Lake Resort Rd,Long Lake,WI,54542,0.95
campground,Camp Horseshoe,4151 Camp Bryn Afon Rd,Rhinelander,WI,54501,0.95
campground,Camp Deerhorn,3725 Deerhorn Rd,Rhinelander,WI,54501,0.99
campground,Hiles-Pine Lake Campground,8896 W Pine Lake Rd,Argonne,WI,54511,0.93
campground,Weavers Resort & Campground,1001 Weaver Rd,Pelican Lake,WI,54463,0.96
campground,Pelican Lake Campground,2060 County Q,Pelican Lake,WI,54463,0.95
campground,Crandon Country Camping,5418 County Rd S,Crandon,WI,54520,0.96
campground,Northern Hideaway RV Park and Campground,N10696 E Shore Rd,Pearson,WI,54462,0.96
campground,Lily River RV Park & Cabins LLC,7790 Jones Ln,Pickerel,WI,54465,0.95
park,Lily Springs State Fishery Area,,,,54491,0.96
national_park,Nicolet National Forest,,,,54566,0.95
campground,Trailside Hideaway LLC,4684 Runny Waters Rd,,,54541,0.96
campground,Ham Lake Campground,3490 WI-32,Wabeno,WI,54566,0.95
campground,Richardson Lake Campground,WI-52,,,54566,0.96
park,Barney Creek State Natural Area,Diamond Roof Rd,,,54566,0.95
park,Flora Spring Pond State Natural Area,Messer Rd,,,54491,0.96
campground,Silver Birch Ranch,N6120 Sawyer Lake Rd,White Lake,WI,54491,0.95
campground,Boot Lake Campground,Camp Rd,,,54175,0.95
campground,Gardner Dam Adventure Base,N 2940 Gardner Dam Rd,,,54491,0.95
campground,Boulder Lake Lodge Campground,17250 Boulder Lake Ln,White Lake,WI,54491,0.95
campground,Echo Valley Resort,17240 Echo Valley Ln,White Lake,WI,54491,0.95
campground,River Forest Campground and Rafts,W510 County Road WW,White Lake,WI,54491,0.99
campground,Boulder Lake Campground,,,,54491,0.95
park,Langlade County Forestry and Recreation,1633 Neva Rd,Antigo,WI,54409,0.96
park,Demlow Lake State Fishery Area,,,,54409,0.96
park,Rabe Lake State Fishery Area,,,,54418,0.95
park,Prairie Dells Scenic Area,,,,54452,0.95
campground,Great Northern Campground,N6146 County Road H,Gleason,WI,54435,0.95
campground,Northforest Campground,W2504 N Forest Rd,,,54487,0.96
campground,Maple Bear Campground,N9350 County Road H,Tomahawk,WI,54487,0.95
campground,Otter Lake Campground,n 9060 Otter Lake Rd,,,54435,0.96
campground,Enterprise Campground,Shingle Mill Rd,,,54435,0.95
campground,Spirit Falls Campground,W10860 Spirit Falls Ave,Tomahawk,WI,54564,0.95
campground,Terrace View Campsites,W5220 Terrace View Rd,Tomahawk,WI,54487,0.95
park,Krueger Pines State Natural Area,Council Grounds Rd,,,54452,0.95
park,River Bend Trail,100 S Park St,Merrill,WI,54452,0.96
park,Hagerman Field,,,,54401,0.95
hiking_trail,Turkey Vulture Trailhead,Turkey Vulture Trail,,,54401,0.96
park,JoJo's Jungle,4200 Stettin Dr,Wausau,WI,54401,0.96
park,Marathon County Agricultural,1201 Stewart Ave,Wausau,WI,54401,0.96
park,"Rainbow Play Systems of Central Wisconsin, LLC",152315 Starling Ln,Rib Mountain,WI,54401,0.99
park,Picnic Island,,,,54403,0.95
park,Paff Woods Nature Preserve,1601 Kickbusch St,Wausau,WI,54403,0.95
hiking_trail,Ice Age Trail - Ringle Segment,20318 Hoot Owl Dr,,,54471,0.96
campground,Rivers Edge Campground,3266 Campsite Dr,Stevens Point,WI,54482,0.96
park,Burma County Forest ATV Trail,2035 WI-153,,,54455,0.96
park,Lake DuBay Lions Club,203701 CR-DB,Knowlton,WI,54455,0.96
campground,Lake DuBay Shores Campground,203040 Dubay Dr,Knowlton,WI,54455,0.95
park,Wisconsin Fire & EMS Memorial,2031 2nd Ave S,Wisconsin Rapids,WI,54495,0.95
park,Wood County Parks & Forestry,111 W Jackson St,Wisconsin Rapids,WI,54495,0.96
campground,Lakeside Fire Campground,14014 County Road Z,Nekoosa,WI,54457,0.95
campground,Pineland Camping Park,916 WI-13,Big Flats,WI,54613,0.91
campground,Vista Royalle Campground,8025 Isherwood Rd,Bancroft,WI,54921,0.96
campground,Oasis Campground,N4398 Elizabeth Ln,Hancock,WI,54943,0.96
campground,Tomorrow Wood Campground,N3845 7th Dr,Hancock,WI,54943,0.95
hiking_trail,Brickyard Trail,Green Circle Trail,,,54481,0.95
hiking_trail,Green Circle Trailhead,"Green Circle Trail, 2419 N Point Dr",Stevens Point,WI,54481,0.96
park,Schmeeckle Reserve,2419 Northpoint Dr,Stevens Point,WI,54481,0.95
park,Stevens Point Parks & Rec Department,2442 Sims Ave,Stevens Point,WI,54481,0.96
campground,Camp Birch Knoll,5412 US-10,Stevens Point,WI,54482,0.96
campground,Ridgewood Campground,4800 River Ridge Rd,Plover,WI,54467,0.91
campground,Wild West Campground and Corral,9495 WI-54,Amherst,WI,54406,0.91
campground,Riverside Bible Conference,6355 County Road DD,Amherst,WI,54406,0.95
campground,Iola Pines Campground,100 Fairway Dr,Iola,WI,54945,0.95
campground,Waupaca S'more Fun Campground,E2411 Holmes Rd,Waupaca,WI,54981,0.94
campground,Wisconsin Law Enforcement Association Campground,N3820 County Road KK,Weyauwega,WI,54983,0.96
campground,Camp Young Judaea Midwest,E989 Stratton Lake Rd,Waupaca,WI,54981,0.96
park,Wild Rose Fish Hatchery,N5871 State Road 22,Wild Rose,WI,54984,0.96
campground,Wilson Lake Campground & Resort,W5950 Archer Ln,Wild Rose,WI,54984,0.96
campground,Rose's Enchanted Forest Camp Ground,W5695 CR-A,Wild Rose,WI,54984,0.96
campground,Rustic Woods Campground,E2585 Southwood Dr,Waupaca,WI,54981,0.96
campground,"Blue Jay Fishing and Camping Resort, LLC",306 North St,Fremont,WI,54940,0.96
campground,Hucklberry Acres Campground & Huck's Sports Grill,E9005 Hucklberry Ln,New London,WI,54961,0.91
campground,Triangle Farm Campground,9312 Riverview Dr,Fremont,WI,54940,0.96
park,Camp Vic-To-Rae,E7720 Ostrander Rd,New London,WI,54961,0.96
campground,Wolf River Trips & Campground,E8041 County Road X,New London,WI,54961,0.98
park,Sturgeon Trail,E8948 Big Eddys Rd,New London,WI,54961,0.96
campground,Tilleda Falls Campground,W13165 County Road D,Tilleda,WI,54978,0.95
campground,On The Rocks Family Kampground,W12505 Roosevelt Rd,Gresham,WI,54128,0.96
campground,Pine Grove Campground,N5999 Campground Rd,Shawano,WI,54166,0.99
campground,Wisconsin District UPC Camp Grnd,W7915 St Johns Church Rd,,,54166,0.95
campground,Imago Dei Village,W8160 Cloverleaf Lake Rd,Clintonville,WI,54929,0.95
campground,Kinney Lake Campground,N11301 Kinney Lake Rd,Marion,WI,54950,0.95
campground,Many Trails Campground,N 9125 Resv Hwy 21,,,54416,0.96
park,Ducknest Falls,,,,,0.95
park,Freeman Falls,,,,54128,0.96
campground,Krueger's Campground,5849 Berry Lake Rd,Gillett,WI,54124,0.96
campground,Nicolet Trail Campground,310 E Washington St,Gillett,WI,54124,0.96
park,Rolling Hills Manufactured Home Community,319 S Green Bay Ave,Gillett,WI,54124,0.96
campground,Fawn Lake Campground,W6158 Lake Dr,Shawano,WI,54166,0.95
campground,Kellogg Kampsites,N5740 N Airport Dr,Shawano,WI,54166,0.95
park,Reforestation Camp - Ski Lodge,4418 Reforestation Rd,Suamico,WI,54313,0.96
park,Brown County Reforestation Camp,4418 Reforestation Rd,Suamico,WI,54313,0.96
campground,Holtwood Campground,400 Holtwood Way,Oconto,WI,54153,0.99
park,Little River Boat Launch,,,,54143,0.95
park,Seagull Bar State Natural Area,,,,54143,0.96
